split,model,metric,n_run_instances,n_independent_neural_seeds,mean,sample_sd,minimum,maximum
calibration,labse_matched,precision_at_3,3,3,0.3854581099002479,0.0033823466242431975,0.38263276249783773,0.38920601971977165
calibration,labse_matched,recall_at_3,3,3,0.923470564492879,0.006641375696438264,0.9171856080262931,0.9304186126967652
calibration,labse_matched,precision_at_5,3,3,0.2428299602144958,0.00026119475645288185,0.24255319148936175,0.2430721328489881
calibration,labse_matched,recall_at_5,3,3,0.9669751484748891,0.003298367283850206,0.9642362912990833,0.9706365680678084
validation,bm25_matched,subset_accuracy,3,0,0.5784708249496981,0.0,0.5784708249496981,0.5784708249496981
validation,bm25_matched,hamming_loss,3,0,0.016300505737125454,0.0,0.016300505737125454,0.016300505737125454
validation,bm25_matched,precision_micro,3,0,0.7207465900933238,0.0,0.7207465900933238,0.7207465900933238
validation,bm25_matched,precision_macro,3,0,0.7361983091940706,0.0,0.7361983091940705,0.7361983091940705
validation,bm25_matched,recall_micro,3,0,0.8266776451214491,0.0,0.8266776451214491,0.8266776451214491
validation,bm25_matched,recall_macro,3,0,0.8102878127636725,0.0,0.8102878127636723,0.8102878127636723
validation,bm25_matched,f1_micro,3,0,0.7700862895493769,0.0,0.7700862895493767,0.7700862895493767
validation,bm25_matched,f1_macro,3,0,0.7573298252205513,0.0,0.7573298252205513,0.7573298252205513
validation,bm25_matched,f1_samples,3,0,0.7679194212896426,0.0,0.7679194212896426,0.7679194212896426
validation,bm25_matched,jaccard_micro,3,0,0.6261303398815092,0.0,0.6261303398815092,0.6261303398815092
validation,bm25_matched,jaccard_macro,3,0,0.6278117984068695,0.0,0.6278117984068695,0.6278117984068695
validation,bm25_matched,jaccard_samples,3,0,0.7192320590207913,0.0,0.7192320590207913,0.7192320590207913
validation,bm25_matched,average_precision_micro,3,0,0.8596321475892484,6.250097673454862e-07,0.859631461582246,0.8596326847138556
validation,bm25_matched,average_precision_macro,3,0,0.8221739284981552,0.0,0.8221739284981552,0.8221739284981552
validation,bm25_matched,precision_at_1,3,0,0.8259557344064387,0.0,0.8259557344064387,0.8259557344064387
validation,bm25_matched,recall_at_1,3,0,0.727112676056338,0.0,0.727112676056338,0.727112676056338
validation,bm25_matched,precision_at_3,3,0,0.380281690140845,0.0,0.380281690140845,0.380281690140845
validation,bm25_matched,recall_at_3,3,0,0.9384641180415828,0.0,0.9384641180415828,0.9384641180415828
validation,bm25_matched,precision_at_5,3,0,0.23501006036217306,0.0,0.23501006036217306,0.23501006036217306
validation,bm25_matched,recall_at_5,3,0,0.9642857142857143,0.0,0.9642857142857143,0.9642857142857143
validation,labse_matched,subset_accuracy,3,3,0.5521462105969149,0.010114709008622175,0.5437625754527163,0.5633802816901409
validation,labse_matched,hamming_loss,3,3,0.017687204306922614,0.0003755295915202869,0.01729294687041166,0.018040676491380716
validation,labse_matched,precision_micro,3,3,0.6978555167250238,0.010396534054913083,0.6888279643591501,0.7092224231464738
validation,labse_matched,precision_macro,3,3,0.7050485217201761,0.008257878900379673,0.699866026742192,0.7145714986676592
validation,labse_matched,recall_micro,3,3,0.8195416495128311,0.010738246279395994,0.8073281185673117,0.8275010292301359
validation,labse_matched,recall_macro,3,3,0.7982232696575676,0.004045944450121026,0.7952158479310648,0.8028231438583522
validation,labse_matched,f1_micro,3,3,0.7537219918974052,0.001699679338323829,0.7518234524032168,0.7551020408163265
validation,labse_matched,f1_macro,3,3,0.7397944287273001,0.0019794606107488726,0.7379564432846127,0.7418901208341532
validation,labse_matched,f1_samples,3,3,0.7479599821149115,0.0015047982075323979,0.7464788732394366,0.7494874005940404
validation,labse_matched,jaccard_micro,3,3,0.6047803664573914,0.002187369392905592,0.6023374288282889,0.6065573770491803
validation,labse_matched,jaccard_macro,3,3,0.6084065007331313,0.002434787862303234,0.6056526724866294,0.6102738375577281
validation,labse_matched,jaccard_samples,3,3,0.6982701766152472,0.001697066718724124,0.6964872568745809,0.6998658618376928
validation,labse_matched,average_precision_micro,3,3,0.825632277105193,0.011944624183449007,0.8160204402123463,0.839004611986907
validation,labse_matched,average_precision_macro,3,3,0.7789524873797403,0.011028594998244696,0.7701163580668815,0.7913123416147304
validation,labse_matched,precision_at_1,3,3,0.7922535211267606,0.013894594886250633,0.7811871227364185,0.8078470824949698
validation,labse_matched,recall_at_1,3,3,0.6959255533199195,0.010612172136165034,0.6874580818242789,0.7078303152246814
validation,labse_matched,precision_at_3,3,3,0.37888441761681196,0.0030009822845201645,0.3754191817572099,0.38061703554661297
validation,labse_matched,recall_at_3,3,3,0.9329588642968925,0.0063607062131806995,0.925637156270959,0.9371227364185111
validation,labse_matched,precision_at_5,3,3,0.23762575452716303,0.0006119479406738706,0.23692152917505033,0.23802816901408452
validation,labse_matched,recall_at_5,3,3,0.9729208584842387,0.0015160245908806913,0.971327967806841,0.9743460764587525
