seed,model,label_index,label,threshold,selected_on
73,bm25_matched,11,Ciencias Jurídicas,-0.48879942948416055,calibration
73,bm25_matched,12,Ciencias Médicas,-0.48879942948416055,calibration
73,bm25_matched,13,Ciencias Naturales,-0.48879942948416055,calibration
73,bm25_matched,14,Ciencias Sociales,-0.48879942948416055,calibration
73,bm25_matched,15,Ciencias Veterinarias,-0.48879942948416055,calibration
73,bm25_matched,16,Ciencias de la Educación,-0.48879942948416055,calibration
73,bm25_matched,17,Comunicación,-0.48879942948416055,calibration
73,bm25_matched,18,Comunicación Social,-0.48879942948416055,calibration
73,bm25_matched,19,Educación,-0.48879942948416055,calibration
73,bm25_matched,20,Educación Física,-0.48879942948416055,calibration
73,bm25_matched,21,Filosofía,0.0,calibration
73,bm25_matched,22,Física,-0.48879942948416055,calibration
73,bm25_matched,23,Geografía,-0.48879942948416055,calibration
73,bm25_matched,24,Historia,-0.48879942948416055,calibration
73,bm25_matched,25,Humanidades,0.0,calibration
73,bm25_matched,26,Ingeniería,-0.48879942948416055,calibration
73,bm25_matched,27,Letras,-0.48879942948416055,calibration
73,bm25_matched,28,Odontología,-0.48879942948416055,calibration
73,bm25_matched,29,Periodismo,-0.48879942948416055,calibration
73,bm25_matched,30,Psicología,-0.48879942948416055,calibration
73,bm25_matched,31,Química,-0.48879942948416055,calibration
73,bm25_matched,32,Relaciones Internacionales,0.0,calibration
73,bm25_matched,33,Sociología,-0.48879942948416055,calibration
73,bm25_matched,34,Trabajo Social,-0.48879942948416055,calibration
73,bm25_matched,35,Urbanismo,-0.48879942948416055,calibration
73,bm25_matched,36,Zoología,-0.48879942948416055,calibration
73,labse_matched,0,Antropología,1.0,calibration
73,labse_matched,1,Arquitectura,3.0,calibration
73,labse_matched,2,Astronomía,3.75,calibration
73,labse_matched,3,Bellas Artes,1.0,calibration
73,labse_matched,4,Bibliotecología,-1.25,calibration
73,labse_matched,5,Biología,2.25,calibration
73,labse_matched,6,Ciencias Agrarias,2.0,calibration
73,labse_matched,7,Ciencias Astronómicas,1.25,calibration
73,labse_matched,8,Ciencias Económicas,1.0,calibration
73,labse_matched,9,Ciencias Exactas,1.75,calibration
73,labse_matched,10,Ciencias Informáticas,1.25,calibration
73,labse_matched,11,Ciencias Jurídicas,0.75,calibration
73,labse_matched,12,Ciencias Médicas,2.5,calibration
73,labse_matched,13,Ciencias Naturales,0.25,calibration
73,labse_matched,14,Ciencias Sociales,-0.25,calibration
73,labse_matched,15,Ciencias Veterinarias,2.25,calibration
73,labse_matched,16,Ciencias de la Educación,1.25,calibration
73,labse_matched,17,Comunicación,-0.75,calibration
73,labse_matched,18,Comunicación Social,0.0,calibration
73,labse_matched,19,Educación,1.0,calibration
73,labse_matched,20,Educación Física,1.75,calibration
73,labse_matched,21,Filosofía,1.75,calibration
73,labse_matched,22,Física,0.75,calibration
73,labse_matched,23,Geografía,1.75,calibration
73,labse_matched,24,Historia,2.0,calibration
73,labse_matched,25,Humanidades,1.5,calibration
73,labse_matched,26,Ingeniería,1.5,calibration
73,labse_matched,27,Letras,0.5,calibration
73,labse_matched,28,Odontología,0.5,calibration
73,labse_matched,29,Periodismo,0.25,calibration
73,labse_matched,30,Psicología,0.25,calibration
73,labse_matched,31,Química,1.75,calibration
73,labse_matched,32,Relaciones Internacionales,1.0,calibration
73,labse_matched,33,Sociología,2.0,calibration
73,labse_matched,34,Trabajo Social,-0.25,calibration
73,labse_matched,35,Urbanismo,1.5,calibration
73,labse_matched,36,Zoología,2.0,calibration
