stage,seconds,feature_set,preprocessing,representation,classifier
prediction,0.467111019001095,abstract,,labse:chunked_length_weighted_mean,logreg
classifier_fit,13.608580162999715,abstract,,labse:chunked_length_weighted_mean,linear_svc
prediction,1.2164075679993402,abstract,,labse:chunked_length_weighted_mean,linear_svc
classifier_fit,4.217404212000474,abstract,,labse:chunked_length_weighted_mean,sgd
prediction,0.4699597390008421,abstract,,labse:chunked_length_weighted_mean,sgd
representation_transform,7.647387665001588,keywords,,sbert:chunked_length_weighted_mean,
classifier_fit,9.604885021999507,keywords,,sbert:chunked_length_weighted_mean,logreg
prediction,0.4694917090000672,keywords,,sbert:chunked_length_weighted_mean,logreg
classifier_fit,11.156024768999487,keywords,,sbert:chunked_length_weighted_mean,linear_svc
prediction,1.2054075570013083,keywords,,sbert:chunked_length_weighted_mean,linear_svc
classifier_fit,3.0591981139987183,keywords,,sbert:chunked_length_weighted_mean,sgd
prediction,0.48050656899977184,keywords,,sbert:chunked_length_weighted_mean,sgd
representation_transform,10.375575410000238,keywords,,labse:chunked_length_weighted_mean,
classifier_fit,14.102617552000083,keywords,,labse:chunked_length_weighted_mean,logreg
prediction,0.4713890389994049,keywords,,labse:chunked_length_weighted_mean,logreg
classifier_fit,16.1119088989999,keywords,,labse:chunked_length_weighted_mean,linear_svc
prediction,1.2139169769998261,keywords,,labse:chunked_length_weighted_mean,linear_svc
classifier_fit,4.248136292000709,keywords,,labse:chunked_length_weighted_mean,sgd
prediction,0.5292361789997813,keywords,,labse:chunked_length_weighted_mean,sgd
representation_transform,1576.2912327970007,fulltext,,sbert:chunked_length_weighted_mean,
classifier_fit,8.600523250999686,fulltext,,sbert:chunked_length_weighted_mean,logreg
prediction,0.535995179998281,fulltext,,sbert:chunked_length_weighted_mean,logreg
classifier_fit,7.540181582000514,fulltext,,sbert:chunked_length_weighted_mean,linear_svc
prediction,1.2137889680016087,fulltext,,sbert:chunked_length_weighted_mean,linear_svc
classifier_fit,2.8650170369983243,fulltext,,sbert:chunked_length_weighted_mean,sgd
prediction,0.472815820001415,fulltext,,sbert:chunked_length_weighted_mean,sgd
