phase,preprocessing,feature_set,representation,classifier,fit_warning,label,iterations,max_iter,converged
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Comunicación Social,26,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Educación,95926,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Educación Física,39,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Filosofía,144,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Física,154,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Geografía,48,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Historia,639,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Humanidades,200000,200000,False
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Ingeniería,38,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Letras,29,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Odontología,25,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Periodismo,26,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Psicología,17,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Química,50,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Relaciones Internacionales,35,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Sociología,219,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Trabajo Social,16,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Urbanismo,29,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c1_tol5e4,"Liblinear failed to converge, increase the number of iterations.",Zoología,29,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Antropología,73,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Arquitectura,735,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Astronomía,133,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Bellas Artes,737,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Bibliotecología,506,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Biología,93,200000,True
validation,language_stopwords,fulltext,bm25,linear_svc_c05_tol1e4,,Ciencias Agrarias,178,200000,True
